----------MST de custo 180.320000---------
Pai	Filho
186	2
787	3
905	4
623	5
142	6
235	7
908	8
901	9
125	10
965	11
636	12
783	13
175	14
107	15
348	16
423	17
42	18
864	19
492	20
115	21
553	22
371	23
378	24
927	25
900	26
738	27
221	28
712	29
279	30
208	31
672	32
887	33
309	34
797	35
683	36
760	37
358	38
68	39
333	40
635	41
18	42
251	43
407	44
421	45
350	46
705	47
1000	48
876	49
198	50
663	51
491	52
932	53
227	54
732	55
632	56
232	57
953	58
689	59
905	60
31	61
964	62
820	63
286	64
714	65
146	66
740	67
39	68
288	69
137	70
742	71
527	72
212	73
513	74
690	75
690	76
594	77
427	78
262	79
833	80
969	81
284	82
389	83
794	84
402	85
852	86
232	87
861	88
968	89
237	90
420	91
350	92
857	93
334	94
987	95
803	96
346	97
855	98
818	99
957	100
767	101
358	102
185	103
487	104
835	105
887	106
15	107
492	108
899	109
631	110
796	111
686	112
297	113
431	114
506	115
49	116
580	117
746	118
880	119
1	120
469	121
924	122
396	123
336	124
855	125
986	126
462	127
942	128
543	129
790	130
911	131
318	132
495	133
585	134
280	135
534	136
70	137
856	138
776	139
742	140
804	141
6	142
623	143
359	144
794	145
66	146
980	147
481	148
309	149
828	150
763	151
262	152
368	153
31	154
228	155
882	156
181	157
565	158
736	159
212	160
492	161
522	162
246	163
652	164
199	165
848	166
134	167
861	168
240	169
232	170
569	171
33	172
204	173
769	174
333	175
857	176
482	177
528	178
23	179
176	180
157	181
951	182
900	183
197	184
103	185
211	186
86	187
995	188
776	189
244	190
218	191
727	192
557	193
322	194
325	195
925	196
184	197
939	198
620	199
349	200
556	201
502	202
660	203
173	204
938	205
894	206
619	207
31	208
222	209
847	210
645	211
160	212
609	213
228	214
307	215
285	216
66	217
426	218
707	219
482	220
28	221
949	222
228	223
982	224
858	225
825	226
54	227
998	228
825	229
632	230
344	231
57	232
652	233
445	234
408	235
946	236
341	237
288	238
453	239
687	240
335	241
188	242
484	243
190	244
897	245
163	246
719	247
607	248
550	249
837	250
43	251
832	252
745	253
732	254
698	255
636	256
841	257
882	258
896	259
807	260
933	261
152	262
948	263
388	264
104	265
502	266
850	267
306	268
476	269
897	270
976	271
999	272
405	273
649	274
288	275
852	276
542	277
670	278
30	279
135	280
326	281
487	282
375	283
82	284
698	285
603	286
550	287
238	288
923	289
546	290
829	291
834	292
445	293
760	294
387	295
909	296
113	297
69	298
51	299
994	300
977	301
352	302
376	303
904	304
873	305
268	306
215	307
434	308
34	309
634	310
484	311
848	312
844	313
200	314
658	315
436	316
569	317
515	318
934	319
724	320
526	321
194	322
754	323
771	324
195	325
479	326
940	327
935	328
664	329
749	330
945	331
386	332
175	333
345	334
90	335
124	336
194	337
683	338
655	339
927	340
805	341
809	342
989	343
377	344
334	345
97	346
802	347
561	348
200	349
92	350
417	351
302	352
802	353
385	354
808	355
638	356
378	357
38	358
144	359
474	360
373	361
966	362
856	363
86	364
592	365
530	366
286	367
153	368
825	369
224	370
23	371
654	372
361	373
401	374
283	375
577	376
344	377
378	378
534	379
656	380
186	381
41	382
490	383
293	384
354	385
345	386
295	387
858	388
83	389
895	390
711	391
379	392
441	393
739	394
607	395
563	396
157	397
409	398
627	399
29	400
374	401
85	402
773	403
320	404
273	405
593	406
44	407
235	408
398	409
783	410
688	411
313	412
990	413
825	414
507	415
232	416
351	417
157	418
470	419
91	420
45	421
408	422
221	423
452	424
75	425
218	426
78	427
439	428
769	429
483	430
114	431
675	432
546	433
923	434
484	435
316	436
417	437
87	438
785	439
221	440
393	441
817	442
683	443
140	444
234	445
315	446
569	447
999	448
782	449
189	450
713	451
424	452
239	453
352	454
941	455
266	456
956	457
354	458
511	459
597	460
938	461
979	462
310	463
181	464
98	465
160	466
845	467
772	468
895	469
419	470
650	471
561	472
547	473
356	474
126	475
706	476
798	477
825	478
326	479
814	480
148	481
56	482
430	483
243	484
763	485
821	486
282	487
591	488
83	489
383	490
52	491
20	492
15	493
140	494
133	495
226	496
645	497
816	498
244	499
165	500
95	501
202	502
250	503
937	504
925	505
115	506
415	507
461	508
369	509
982	510
459	511
115	512
721	513
590	514
318	515
956	516
703	517
932	518
634	519
616	520
530	521
162	522
944	523
297	524
315	525
873	526
72	527
178	528
902	529
789	530
632	531
994	532
890	533
136	534
808	535
897	536
259	537
665	538
626	539
135	540
841	541
81	542
820	543
401	544
866	545
433	546
473	547
33	548
520	549
249	550
748	551
771	552
387	553
998	554
335	555
201	556
193	557
678	558
440	559
578	560
602	561
296	562
396	563
873	564
158	565
796	566
304	567
816	568
317	569
453	570
313	571
921	572
807	573
938	574
73	575
887	576
376	577
826	578
662	579
117	580
125	581
157	582
727	583
753	584
134	585
825	586
174	587
796	588
239	589
635	590
488	591
622	592
777	593
77	594
848	595
320	596
460	597
645	598
99	599
491	600
585	601
561	602
286	603
50	604
988	605
448	606
248	607
783	608
213	609
257	610
644	611
498	612
690	613
755	614
509	615
520	616
426	617
76	618
207	619
199	620
263	621
592	622
5	623
900	624
989	625
539	626
957	627
326	628
371	629
607	630
762	631
531	632
398	633
310	634
41	635
693	636
580	637
356	638
532	639
181	640
11	641
136	642
829	643
611	644
326	645
763	646
694	647
965	648
274	649
471	650
224	651
721	652
970	653
372	654
407	655
380	656
121	657
315	658
816	659
479	660
973	661
579	662
51	663
992	664
538	665
631	666
21	667
819	668
159	669
278	670
966	671
32	672
564	673
478	674
353	675
53	676
488	677
558	678
310	679
700	680
285	681
779	682
338	683
76	684
200	685
112	686
240	687
411	688
59	689
613	690
971	691
739	692
636	693
933	694
763	695
714	696
66	697
255	698
201	699
846	700
691	701
923	702
492	703
114	704
47	705
476	706
879	707
354	708
285	709
153	710
391	711
575	712
204	713
65	714
103	715
759	716
665	717
741	718
247	719
314	720
513	721
279	722
592	723
320	724
183	725
861	726
192	727
72	728
41	729
858	730
474	731
55	732
865	733
422	734
917	735
159	736
572	737
27	738
421	739
430	740
718	741
71	742
289	743
747	744
253	745
118	746
744	747
551	748
913	749
666	750
296	751
480	752
584	753
323	754
46	755
453	756
940	757
953	758
716	759
37	760
333	761
811	762
151	763
970	764
409	765
840	766
425	767
11	768
174	769
73	770
324	771
963	772
835	773
568	774
939	775
139	776
593	777
173	778
548	779
474	780
961	781
849	782
608	783
237	784
439	785
636	786
961	787
234	788
925	789
636	790
812	791
961	792
325	793
32	794
678	795
566	796
967	797
477	798
855	799
293	800
805	801
353	802
96	803
141	804
341	805
698	806
260	807
831	808
342	809
815	810
762	811
546	812
722	813
900	814
215	815
568	816
385	817
99	818
668	819
831	820
353	821
224	822
172	823
832	824
226	825
578	826
681	827
150	828
291	829
100	830
787	831
824	832
423	833
659	834
105	835
997	836
250	837
754	838
6	839
766	840
257	841
829	842
158	843
313	844
467	845
700	846
864	847
312	848
782	849
27	850
642	851
276	852
936	853
147	854
125	855
138	856
424	857
225	858
55	859
870	860
88	861
814	862
714	863
847	864
733	865
545	866
917	867
260	868
433	869
860	870
289	871
988	872
305	873
41	874
215	875
914	876
259	877
7	878
707	879
119	880
666	881
258	882
852	883
873	884
412	885
601	886
33	887
550	888
373	889
993	890
184	891
268	892
982	893
206	894
390	895
259	896
245	897
638	898
109	899
814	900
9	901
529	902
545	903
229	904
60	905
297	906
237	907
8	908
296	909
933	910
131	911
250	912
